Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ";"ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ";"Загородный пр., ул. Бронницкая";"59,91755401";"30,3198719";"Остановка";"1М,1МБ,4М,4МБ,5М,5МБ"
""СТ. МЕТРО "ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ"";""СТ. МЕТРО "ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ"";"ул. 1-я Красноармейская, Московский пр.";"59,9160921";"30,3170795";"Остановка";"1М,1МБ"
"ЗВЕНИГОРОДСКАЯ УЛ.";"ЗВЕНИГОРОДСКАЯ УЛ.";"Загородный пр., ул. Бородинская";"59,92359955";"30,3362103";"Остановка";"1М,1МБ,4М"
"РАЗЪЕЗЖАЯ УЛ.";"РАЗЪЕЗЖАЯ УЛ.";"Загородный пр., ул. Рубинштейна";"59,9262899";"30,3428879";"Остановка";"1М,1МБ"
""СТ. МЕТРО "ВЛАДИМИРСКАЯ"";""СТ. МЕТРО "ВЛАДИМИРСКАЯ"";"ул. Бол. Московская, Загородный пр.";"59,92849062";"30,3477497";"Остановка";"1М,1МБ"
"УЛ. КОМСОМОЛА";"УЛ. КОМСОМОЛА";"ул. Академика Лебедева, ул. Клиническая";"59,95505892";"30,3508587";"Остановка";"1М"
"НЕШЛОТСКИЙ ПЕР.";"НЕШЛОТСКИЙ ПЕР.";"Лесной пр., Нейшлотский пер.";"59,96775737";"30,349905";"Остановка";"1М"
""СТ. МЕТРО "ЛИГОВСКИЙ ПР."";""СТ. МЕТРО "ЛИГОВСКИЙ ПР."";"Лиговский пр., ул. Разъезжая";"59,92103906";"30,3539181";"Остановка";"5М,5МБ"
""СТ. МЕТРО "ОБВОДНЫЙ КАНАЛ"";""СТ. МЕТРО "ОБВОДНЫЙ КАНАЛ"";"Лиговский пр., ул. Тюшина";"59,91648241";"30,3516941";"Остановка";"5М,5МБ"
""СТ. МЕТРО "ЛИГОВСКИЙ ПР."";"";"Лиговский пр., Транспортный пер.";"59,92135742";"30,3547955";"Остановка";"4М,4МБ,5М,5МБ"
""СТ. МЕТРО "ЛИГОВСКИЙ ПР."";""СТ. МЕТРО "ЛИГОВСКИЙ ПР."";"ул. Разъезжая, ул. Коломенская";"59,92206602";"30,3519955";"Остановка";"4М"
""СТ. МЕТРО "ЗВЕНИГОРОДСКАЯ"";""СТ. МЕТРО "ЗВЕНИГОРОДСКАЯ"";"ул. Звенигородская, Загородный пр.";"59,92312717";"30,3356361";"Остановка";"5М,5МБ"
