Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"КУРОРТНАЯ УЛ.";"КУРОРТНАЯ УЛ.";"Курортная ул., ул. Григорьева";"60,10583614";"29,9543381";"Остановка";"216,306,306А,314,315"
"КАДЕТСКИЙ БУЛЬВАР, УГ. ПАРКОВОЙ УЛ.";"КАДЕТСКИЙ БУЛЬВАР, УГ. ПАРКОВОЙ УЛ.";"ул. Парковая, Кадетский бульвар";"59,71038859";"30,4014702";"Остановка";"381"
"ТК КОНТИНЕНТ";"ТК КОНТИНЕНТ";"ул. Маршала Казакова, проспект Стачек";"59,85935659";"30,2487354";"Остановка";"2А,26,229,300"
"МОРСКАЯ НАБ., 15";"МОРСКАЯ НАБ., 15";"Морская наб., ул. Кораблестроителей";"59,93972471";"30,2134171";"Остановка";"158"
"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ";"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ";"Вокзальная ул.(в Конной Лахте и в Зеленогорске), ул. Кривоносовская";"60,2067983";"29,6995792";"ДС";"211,213,305,318,319,321,322,404,410,415,415Ш,420,420А,420Б,552,552А"
"ПРИВЕТИНСКОЕ, Ж.-Д. СТАНЦИЯ";"ПРИВЕТИНСКОЕ, Ж.-Д. СТАНЦИЯ";"Приморское шоссе";"60,16954123";"29,4264355";"Остановка";"213,420,420А,420Б"
"РАЗВИЛКА";"РАЗВИЛКА";"Приморское шоссе";"60,16681286";"29,4098663";"Остановка";"213,420,420А,420Б"
"СЫЗРАНСКАЯ УЛ.";"СЫЗРАНСКАЯ УЛ.";"ул. Сызранская, ул. Решетникова";"59,87815237";"30,3362045";"Остановка";"29"
"ВИТЕБСКИЙ ПР.";"ВИТЕБСКИЙ ПР.";"ул. Благодатная, Витебский проспект";"59,87769648";"30,3469467";"Остановка";"12,29,95,159"
"ТИХООКЕАНСКАЯ УЛ.,1";"ТИХООКЕАНСКАЯ УЛ.,1";"ул. Тихоокеанская";"60,07174966";"30,2405396";"Остановка";"397"
"УЛ. АММЕРМАНА";"УЛ. АММЕРМАНА";"ул. Аммермана, Петровская ул.";"59,98614339";"29,7847748";"Остановка";"3КР"
"ХАБАРОВСКАЯ УЛ.";"ХАБАРОВСКАЯ УЛ.";"ул. Первого Мая, ул. Хабаровская";"60,07902767";"30,2586327";"Остановка";"397,398"
"ВОКЗАЛ";"ВОКЗАЛ";"ул. Коммунаров, Дубковское шоссе";"60,09328601";"29,9567318";"Остановка";"216,306,306А"
"Ж.-Д. ПАРГОЛОВО (ВЫСАДКИ И ПОСАДКИ НЕТ)";"Ж.-Д. ПАРГОЛОВО (ВЫСАДКИ И ПОСАДКИ НЕТ)";"ул. Хабаровская, ул. Первого Мая";"60,07903789";"30,2590866";"Остановка";"398"
"ДОРОГА НА ПОС. ЕЛИЗАВЕТИНКА";"ДОРОГА НА ПОС. ЕЛИЗАВЕТИНКА";"";"60,18258193";"30,1305332";"Остановка";"435"
"УЛ. ТЕЛЬМАНА, УГ. ИСКРОВСКОГО ПР.";"УЛ. ТЕЛЬМАНА, УГ. ИСКРОВСКОГО ПР.";"ул. Тельмана, Искровский проспект";"59,89284695";"30,4798946";"Остановка";"97"
""Ж.Д. ПЛАТФОРМА "ИЖОРЫ"";""Ж.Д. ПЛАТФОРМА "ИЖОРЫ"";"ул. Железнодорожная, Садовая ул.";"59,80838796";"30,5660057";"Остановка";"115А"
"21км";"21км";"Приморское шоссе, ул. 50-летия Октября";"60,17021394";"29,3670311";"Остановка";"213,420,420А,420Б"
"21 км";"21 км";"Приморское шоссе, ул. 50-летия Октября";"60,16980284";"29,3647461";"Остановка";"420,420А,420Б"
"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ";"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ";"Вокзальная ул.(в Конной Лахте и в Зеленогорске), ул. Кривоносовская";"60,20548829";"29,7024479";"Остановка";"305,404,410,415,415А,415Ш,552,552А"
"764 КМ";"764 КМ";"проспект Ленина";"60,23273644";"29,7708626";"Остановка";"305,404,410,415,415А,415Ш,552,552А"
"770 КМ";"770  КМ";"";"60,27955695";"29,7890377";"Остановка";"404,410,415,415А"
"ПР. ПРОСВЕЩЕНИЯ";"ПР. ПРОСВЕЩЕНИЯ";"ул. Демьяна Бедного, проспект Просвещения";"60,04261132";"30,3868942";"Остановка";"69"
"ВОКЗАЛ";"ВОКЗАЛ";"Вокзальная ул.(в Конной Лахте и в Зеленогорске), ул. Кривоносовская";"60,20543738";"29,7026863";"Остановка";"318,319"
"ПОС. ЛЕВАШОВО, Ж.-Д. СТАНЦИЯ";"ПОС. ЛЕВАШОВО, Ж.-Д. СТАНЦИЯ";"ул. Володарского, ул. Железнодорожная";"60,10395359";"30,2147732";"Остановка";"75,84,84А,84-ШК"
"ПОС. ЛЕВАШОВО, Ж.-Д. СТАНЦИЯ (ВЫСАДКА)";"ПОС. ЛЕВАШОВО, Ж.-Д. СТАНЦИЯ (ВЫСАДКА)";"ул. Володарского, ул. Железнодорожная";"60,10416125";"30,2156448";"Остановка";"75,84,84А,84-ШК"
"ПР. К. МАРКСА";"ПР. К. МАРКСА";"проспект Карла Маркса, ул. Володарского";"60,10142065";"30,211195";"Остановка";"75,84,84А,84-ШК"
"4 КМ, КЛУБ, ПО ТРЕБОВАНИЮ";"4 КМ, КЛУБ, ПО ТРЕБОВАНИЮ";"Горское шоссе";"60,09336093";"30,1915989";"Остановка";"75,84,84А,84-ШК"
"4 КМ, СТОЛОВАЯ";"4 КМ, СТОЛОВАЯ";"Горское шоссе";"60,09366742";"30,1806145";"Остановка";"75,84,84А,84-ШК"
"ДОР. НА СТ. ГОРСКАЯ";"ДОР. НА СТ. ГОРСКАЯ";"ул. Добрая Горка, ул. Парковая";"60,09549949";"30,1576958";"Остановка";"75,84,84А,84-ШК"
"ПОС. ПЕСОЧНЫЙ, РАБОЧАЯ УЛ.";"ПОС. ПЕСОЧНЫЙ, РАБОЧАЯ УЛ.";"Советская ул., ул. Лесная";"60,1265984";"30,167347";"Остановка";"84"
"ПОС. ПЕСОЧНЫЙ, РАБОЧАЯ УЛ.";"ПОС. ПЕСОЧНЫЙ, РАБОЧАЯ УЛ.";"Советская ул., ул. Лесная";"60,12667324";"30,1665306";"Остановка";"84"
"РУЧЕЙ БЕЗЫМЯННЫЙ";"РУЧЕЙ БЕЗЫМЯННЫЙ";"Военный городок, Советская ул.";"60,12977573";"30,172102";"Остановка";"84"
"ПОС. СЕРТОЛОВО, ЦЕНТРАЛЬНАЯ ПРОХОДНАЯ";"ПОС. СЕРТОЛОВО, ЦЕНТРАЛЬНАЯ ПРОХОДНАЯ";"";"60,1399554";"30,1881828";"Остановка";"84"
"А. Д. ПАРГОЛОВО-ОГОНЬКИ";"А. Д. ПАРГОЛОВО-ОГОНЬКИ";"Выборгское шоссе, ул. Заречная";"60,14714356";"30,2003822";"Остановка";"84"
"БОЛЬШАЯ ПОРОХОВСКАЯ УЛ.";"";"Большеохтинский проспект, Большая Пороховская ул.";"59,95426211";"30,4103394";"Остановка";"181"
"УЛ. ТАРАСОВА";"";"Большеохтинский проспект, ул. Тарасова";"59,94969292";"30,4096489";"Остановка";"181"
"ВОКЗАЛ";"ВОКЗАЛ";"Вокзальная ул.(в Конной Лахте и в Зеленогорске), ул. Кривоносовская";"60,20537969";"29,7029362";"Остановка";"420,420А,420Б"
"БОЛЬШАЯ ПОРОХОВСКАЯ УЛ.";"БОЛЬШАЯ ПОРОХОВСКАЯ УЛ.";"Среднеохтинский проспект, ул. Панфилова";"59,95229908";"30,4152527";"Остановка";"15,136,181"
"ПИСКАРЁВСКИЙ ПР., УГ. Ш. РЕВОЛЮЦИИ";"";"Пискарёвский проспект, шоссе Революции";"59,95968891";"30,4074154";"Остановка";"106,181"
"ПР. УДАРНИКОВ";"";"ул. Передовиков, проспект Ударников";"59,94828031";"30,4607525";"Остановка";"168"
"НАБЕРЕЖНАЯ УЛ., УГ. МОСКОВСКОЙ УЛ.";"НАБЕРЕЖНАЯ УЛ., УГ. МОСКОВСКОЙ УЛ.";"ул. Московская, ул. Набережная";"59,71668192";"30,4151783";"Остановка";"375,383,384"
""САДОВОДСТВО "ВОСХОД-1"";""САДОВОДСТВО "ВОСХОД-1"";"Новая дорога 3, 1-я линия";"59,89965059";"31,2787762";"КП";"469,475"
"ПОС. ОЗЕРКИ";"ПОС. ОЗЕРКИ";"Приморское шоссе";"60,21547829";"29,0087738";"Остановка";"420,420А"
"ПОС. ОЗЕРКИ";"ПОС. ОЗЕРКИ";"Приморское шоссе";"60,21540365";"29,0077763";"Остановка";"420"
"МОСКОВСКАЯ УЛ.";"МОСКОВСКАЯ УЛ.";"ул. Леонтьевская, ул. Московская";"59,72012605";"30,4038124";"Остановка";"382"
"31 КМ";"31 КМ";"Приморское шоссе";"60,16809383";"29,1832123";"Остановка";"420,420А"
"ПОС. ПЕСКИ";"ПОС. ПЕСКИ";"Приморское шоссе";"60,16758416";"29,259903";"Остановка";"420,420А"
"ПОС.ПЕСКИ";"ПОС.ПЕСКИ";"Приморское шоссе";"60,16808703";"29,2594719";"Остановка";"420,420А,420Б"
"25 КМ";"25 КМ";"Приморское шоссе";"60,17250378";"29,2870255";"Остановка";"420,420А,420Б"
"ПОС. ОСИНОВАЯ РОЩА, 2";"ПОС. ОСИНОВАЯ РОЩА, 2";"Юкковское шоссе, Ленинградское шоссе";"60,11108154";"30,2681236";"Остановка";"148"
"ПОС. ОСИНОВАЯ РОЩА, 2";"ПОС. ОСИНОВАЯ РОЩА, 2";"Юкковское шоссе, Ленинградское шоссе";"60,11093519";"30,2689476";"Остановка";"104"
"ПР. ЭНЕРГЕТИКОВ";"ПР. ЭНЕРГЕТИКОВ";"проспект Энергетиков";"59,93047218";"30,4356441";"Остановка";"168"
"КАНОНЕРСКИЙ ОСТРОВ - ВЫСАДКА";"";"Канонерский тоннель";"59,90485002";"30,2167301";"Остановка";"66,67,67А"
"ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД, ПО ТРЕБОВАНИЮ";"ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД, ПО ТРЕБОВАНИЮ";"дорога в Каменку, Михайловская дорога";"60,06847471";"30,2728119";"Остановка";"173"
"ЖИЛГОРОДОК,1";"ЖИЛГОРОДОК,1";"дорога в Каменку";"60,06336569";"30,2568474";"Остановка";"173"
"ЖИЛГОРОДОК,2";"ЖИЛГОРОДОК,2";"дорога в Каменку";"60,05772406";"30,2412224";"Остановка";"173"
"ДОРОГА В С/Х ПРИГОРОДНЫЙ, ПО ТРЕБОВАНИЮ";"ДОРОГА В С/Х ПРИГОРОДНЫЙ, ПО ТРЕБОВАНИЮ";"дорога в Каменку";"60,05518074";"30,2334976";"Остановка";"173"
"ДОРОГА В С/Х ПРИГОРОДНЫЙ, ПО ТРЕБОВАНИЮ";"ДОРОГА В С/Х ПРИГОРОДНЫЙ, ПО ТРЕБОВАНИЮ";"дорога в Каменку";"60,05521143";"30,2345161";"Остановка";"173"
"БАЗА АНИИ, ПО ТРЕБОВАНИЮ";"БАЗА АНИИ, ПО ТРЕБОВАНИЮ";"дорога в Каменку, Комендантский проспект";"60,0462742";"30,2086086";"Остановка";"173"
"ПОС. КАМЕНКА (ВЫСАДКА)";"";"дорога в Каменку, Большая Каменка";"60,04070809";"30,1913967";"Остановка";"173"
"ЖИЛГОРОДОК, 1";"ЖИЛГОРОДОК, 1";"дорога в Каменку";"60,06342704";"30,2594147";"Остановка";"173"
"КОНЮШЕННАЯ УЛ., УГ. САДОВОЙ УЛ.";"КОНЮШЕННАЯ УЛ., УГ. САДОВОЙ УЛ.";"ул. Конюшенная, Садовая ул.";"59,68622733";"30,4430389";"Остановка";"375А,383"
"Г. ПАВЛОВСК, САДОВАЯ УЛ.";"Г. ПАВЛОВСК, САДОВАЯ УЛ.";"Фильтровское шоссе, Садовая ул.";"59,69816023";"30,4413948";"Остановка";"375А,383"
""Завод "Сокол"";"";"";"59,69123608";"30,8086948";"Остановка";"438"
"ДИРЕКЦИЯ СОВХОЗА";"ДИРЕКЦИЯ СОВХОЗА";"Советская ул., ул. Нагорная";"60,22599775";"29,8502121";"Остановка";"408"
"СОВЕТСКАЯ УЛ., 25";"СОВЕТСКАЯ УЛ., 25";"Советская ул.";"60,21968852";"29,8431587";"Остановка";"408"
"ДОРОГА В ПОС. МЕТРОСТРОЙ";"ДОРОГА В ПОС. МЕТРОСТРОЙ";"Большой проспект";"60,18516976";"29,8608837";"Остановка";"408"
"ОТРАДНОЕ, ДОРОГА В НИКОЛЬСКОЕ";"ОТРАДНОЕ, ДОРОГА В НИКОЛЬСКОЕ";"Ленинградское шоссе, ул. Победы";"59,76236348";"30,7716217";"Остановка";"438,438З"
"Ж.-Д. СТ. ИВАНОВСКАЯ";"Ж.-Д. СТ. ИВАНОВСКАЯ";"Никольское шоссе";"59,75821163";"30,7735844";"Остановка";"438,438З"
"3 КМ ДОРОГИ В НИКОЛЬСКОЕ";"3 КМ ДОРОГИ В НИКОЛЬСКОЕ";"Никольское шоссе, Отрадненское шоссе";"59,73778883";"30,7760639";"Остановка";"438,438З"
"4 КМ";"4 КМ";"Отрадненское шоссе";"59,72702356";"30,7779522";"Остановка";"438,438З"
"НИКОЛЬСКОЕ, ЗАВОДСКАЯ УЛ.";"НИКОЛЬСКОЕ, ЗАВОДСКАЯ УЛ.";"Советский проспект, ул. Спортивная";"59,70651969";"30,7839775";"Остановка";"438,438З"
"НИКОЛЬСКОЕ, ЗАВОДСКАЯ УЛ.";"НИКОЛЬСКОЕ, ЗАВОДСКАЯ УЛ.";"Советский проспект, ул. Первомайская";"59,70721908";"30,7843075";"Остановка";"438,438З"
"НИКОЛЬСКОЕ, ДК";"НИКОЛЬСКОЕ, ДК";"Советский проспект, ул. Театральная";"59,70387011";"30,7842884";"Остановка";"438,438З"
"НИКОЛЬСКОЕ, ДК";"НИКОЛЬСКОЕ, ДК";"Советский проспект, Школьная  ул.";"59,70321543";"30,7847176";"Остановка";"438,438З"
"АЛЕКСАНДРОВСКОЕ ШОССЕ, 62";"АЛЕКСАНДРОВСКОЕ ШОССЕ, 62";"Александровское шоссе, ул. Рощинская";"60,1552751";"30,0093346";"Остановка";"494"
""ОТДЕЛЕНИЕ СОВХОЗА "ДРУЖНЫЙ"";""ОТДЕЛЕНИЕ СОВХОЗА "ДРУЖНЫЙ"";"Советский проспект";"59,67322452";"30,8007107";"Остановка";"438"
"ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ";"ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ";"15-я ул., проспект Володарского";"59,66461182";"30,7981319";"Остановка";"438"
"ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ";"ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ";"15-я ул., проспект Володарского";"59,66499818";"30,7981701";"Остановка";"438"
"УЛЬЯНОВКА, РЕЧНАЯ УЛ.";"УЛЬЯНОВКА, РЕЧНАЯ УЛ.";"проспект Володарского, Вокзальная ул.(в Конной Лахте и в Зеленогорске)";"59,63366789";"30,7622604";"Остановка";"438"
"ЛЕНИНСКОЕ, СОВЕТСКАЯ УЛ.,89";"ЛЕНИНСКОЕ, СОВЕТСКАЯ УЛ.,89";"Бобровая";"60,19977932";"29,8587112";"Остановка";"408"
"РЕПИНО, ВОКЗАЛ";"РЕПИНО, ВОКЗАЛ";"ул. Привокзальная, Еловая аллея";"60,17294202";"29,8713989";"Остановка";"408"
"МЯСОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД";"МЯСОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД";"8-й Верхний переулок";"60,07997819";"30,3693371";"Остановка";"113,139"
"3-Й ВЕРХНИЙ ПЕР.,5 (ВЫСАДКА)";"3-Й ВЕРХНИЙ ПЕР.,5 (ВЫСАДКА)";"3-й Верхний переулок";"60,06405421";"30,3539696";"Остановка";"113"
"ЛЕНИНГРАДСКАЯ УЛ., 70";"ЛЕНИНГРАДСКАЯ УЛ., 70";"Ленинградская ул., Песочное шоссе";"60,11734021";"30,1873055";"Остановка";"109,109А,497"
"ПОС. ЧЕРНАЯ РЕЧКА, 33 КМ";"ПОС. ЧЕРНАЯ РЕЧКА, 33 КМ";"";"60,17826504";"30,1481266";"Остановка";"497"
"ПОС.ПЕСОЧНЫЙ, 1 КМ";"ПОС.ПЕСОЧНЫЙ, 1 КМ";"Песочное шоссе, Берёзовая аллея";"60,11381794";"30,2329712";"Остановка";"109,109А,497"
"ПОС. ПЕСОЧНЫЙ, 1 КМ";"ПОС. ПЕСОЧНЫЙ, 1 КМ";"Песочное шоссе, Санаторный переулок";"60,11366139";"30,2314701";"Остановка";"109,109А,497"
"ЗАХАРЖЕВСКАЯ УЛ.";"ЗАХАРЖЕВСКАЯ УЛ.";"Павловское шоссе, ул. Артиллерийская";"59,70748437";"30,4157372";"Остановка";"545"
""ЗАО "СОРТСЕМОВОЩ"";""ЗАО "СОРТСЕМОВОЩ"";"1-й Верхний переулок, проспект Культуры";"60,0582661";"30,3837757";"Остановка";"99,99ШК,139"
